;12878
2016-03-13 16:00:21.653209;1
2016-03-18 10:28:32.224144;1
2016-03-18 11:34:38.22859;1
2016-04-20 13:36:08.486031;1
2016-04-20 13:58:41.280012;1
2016-04-20 13:59:46.09219;1
2016-04-20 14:00:28.257561;1
2016-04-20 14:01:53.49235;1
2016-04-20 14:20:06.980671;1
2016-04-20 14:20:52.100698;1
2016-04-20 14:23:37.240438;1
2016-04-20 14:27:43.224267;1
2016-04-20 14:30:41.323828;1
2016-04-20 14:31:57.003349;1
2016-04-20 14:37:36.352358;1
2016-04-22 11:14:01.733503;1
2016-04-22 11:15:19.808917;1
2016-04-22 11:16:55.130864;1
2016-04-25 14:09:55.660086;1
2016-04-25 14:10:16.901166;1
2016-04-25 14:10:34.842217;1
2016-04-25 14:56:24.876945;1
2016-04-25 14:56:37.399114;1
2016-04-25 15:44:28.181392;1
2016-04-25 15:49:33.164852;1
2016-04-25 15:50:01.637701;1
2016-04-25 15:56:47.867912;1
2016-04-29 11:54:04.3943;1
2016-06-22 14:20:24.606653;1
2016-06-22 14:21:16.11649;1
2016-06-23 11:26:44.629729;1
2016-07-11 15:00:52.726901;1
2016-07-11 15:01:43.1808;1
2016-07-11 15:02:11.831727;1
2016-07-11 15:02:40.801927;1
2016-07-11 15:03:11.89182;1
2016-07-11 15:03:51.585599;1
2016-07-11 15:04:25.263052;1
2016-07-11 15:04:52.361042;1
2016-07-11 15:05:20.969744;1
2016-07-11 15:05:50.159477;1
2016-07-11 15:06:14.58496;1
2016-07-11 15:06:42.84242;1
2016-07-11 15:07:08.387975;1
2016-07-11 15:07:37.165336;1
2016-07-11 15:08:01.853677;1
2016-07-16 18:27:00.269466;1
2016-07-17 21:38:57.937369;1
2016-07-18 11:59:57.891792;1
2016-07-18 12:00:23.010216;1
2016-07-18 12:00:55.764417;1
2016-07-18 12:01:29.099809;1
2016-07-18 16:12:53.818025;1
2016-07-18 16:13:19.748008;1
2016-07-24 15:41:12.635326;1
2016-07-26 13:50:47.026388;1
2016-07-26 13:54:15.836926;1
2016-07-27 12:11:17.593998;1
2016-07-27 12:11:44.14373;1
2016-07-27 12:12:05.601424;1
2016-07-27 12:12:28.652029;1
2016-07-30 18:05:43.461539;1
2016-07-31 14:19:23.347399;1
2016-07-31 14:19:49.811464;1
2016-07-31 14:20:18.9326;1
2016-08-02 11:44:44.534748;1
2016-08-05 14:06:42.531534;1
2016-08-05 14:07:13.272639;1
2016-08-05 14:07:34.770238;1
2016-08-05 14:07:57.308914;1
2016-08-05 14:08:19.96767;1
2016-08-05 14:08:44.345007;1
2016-08-05 14:09:04.759355;1
2016-08-05 14:09:26.120803;1
2016-08-05 14:09:50.080661;1
2016-08-05 14:10:15.270862;1
2016-08-05 14:10:39.00955;1
2016-08-05 14:11:06.047541;1
2016-08-05 14:11:28.19584;1
2016-08-05 14:11:51.472085;1
2016-08-05 14:12:17.894751;1
2016-08-05 14:12:44.700539;1
2016-08-10 13:51:29.188603;1
2016-08-13 19:23:24.300727;1
2016-08-15 17:15:18.203984;1
2016-08-15 17:15:42.275352;1
2016-08-16 11:34:36.688305;1
2016-08-24 15:29:54.570215;1
2016-09-01 13:33:23.096852;1
2016-09-02 11:43:39.281426;1
2016-09-02 11:44:10.903193;1
2016-09-07 12:40:15.854756;1
2016-09-07 12:40:35.306965;1
2016-09-07 12:41:20.675121;1
2016-09-09 11:25:02.169489;1
2016-09-11 09:22:32.275997;1
2016-09-11 09:23:23.092808;1
2016-09-11 09:23:42.285156;1
2016-09-13 15:43:50.87999;1
2016-09-20 09:27:58.818179;1
2016-09-20 09:28:17.926991;1
