kolom_naam;record_aantal;tabel_naam;aantal_veldwaarden_met_null;aantal_lege_veldwaarde;aantal_veldwaarden_met_lege_lijst;totaal_aantal_veldwaarden;aantal_uunieke_veldwaarden;percentage_unieke_veldwaarden;kolom_is_leeg;veldwaarde_is_uuid;veldwaarde_is_url;veldwaarde_is_email;veldwaarde_is_int;veldwaarde_is_float;veldwaarde_is_bool;veldwaarde_is_dict;veldwaarde_bevat_html;veldwaarde_is_date;veldwaarde_is_str;aantal_decimalen;grootste_int_waarde;langste_str_waarde;primaire_sleutel;vreemde_sleutel;gerelateerde_tabel_naam;gerelateerde_kolom_naam
Sample nr;3845;Plakfouten PLANTS BIAX nw;0;0;0;3845;807;0.21;False;0;0;0;3845;0;0;0;0;0;0;0;5;0;false;false;;
Name;3845;Plakfouten PLANTS BIAX nw;0;0;0;3845;402;0.1;False;0;0;0;0;0;0;0;0;0;3845;0;0;50;false;false;;
Id_level;3845;Plakfouten PLANTS BIAX nw;0;0;0;3845;3;0.0;False;0;0;0;0;0;0;0;0;0;3845;0;0;5;false;false;;
Part preserved;3845;Plakfouten PLANTS BIAX nw;0;0;0;3845;73;0.02;False;0;0;0;1;0;0;0;0;0;3844;0;2;3;false;false;;
Pres mode;3845;Plakfouten PLANTS BIAX nw;0;0;0;3845;3;0.0;False;0;0;0;0;0;0;0;0;0;3845;0;0;1;false;false;;
Quantification;3845;Plakfouten PLANTS BIAX nw;0;0;0;3845;71;0.02;False;0;0;0;0;3845;0;0;0;0;0;1;4;0;false;false;;
Min_numb;3845;Plakfouten PLANTS BIAX nw;0;0;0;1831;5;0.0;False;0;0;0;1831;0;0;0;0;0;0;0;4;4;false;false;;
Max_numb;3845;Plakfouten PLANTS BIAX nw;0;0;0;1831;5;0.0;False;0;0;0;1831;0;0;0;0;0;0;0;4;4;false;false;;
Remarks;3845;Plakfouten PLANTS BIAX nw;0;0;0;1838;1;0.0;False;0;0;0;0;0;0;0;0;0;1838;0;0;4;false;false;;
BIAX_ID;3845;Plakfouten PLANTS BIAX nw;0;0;0;3845;807;0.21;False;0;0;0;0;0;0;0;0;0;3845;0;0;27;false;false;;
